0 0 0
1 1 0
2 1 1
3 0 1
4 0 2
5 0 3
6 1 3
7 1 2
8 2 2
9 2 3
10 3 3
11 3 2
12 3 1
13 2 1
14 2 0
15 3 0
16 4 0
17 4 1
18 5 1
19 5 0
20 6 0
21 7 0
22 7 1
23 6 1
24 6 2
25 7 2
26 7 3
27 6 3
28 5 3
29 5 2
30 4 2
31 4 3
32 4 4
33 4 5
34 5 5
35 5 4
36 6 4
37 7 4
38 7 5
39 6 5
40 6 6
41 7 6
42 7 7
43 6 7
44 5 7
45 5 6
46 4 6
47 4 7
48 3 7
49 2 7
50 2 6
51 3 6
52 3 5
53 3 4
54 2 4
55 2 5
56 1 5
57 1 4
58 0 4
59 0 5
60 0 6
61 1 6
62 1 7
63 0 7
64 0 8
65 0 9
66 1 9
67 1 8
68 2 8
69 3 8
70 3 9
71 2 9
72 2 10
73 3 10
74 3 11
75 2 11
76 1 11
77 1 10
78 0 10
79 0 11
80 0 12
81 1 12
82 1 13
83 0 13
84 0 14
85 0 15
86 1 15
87 1 14
88 2 14
89 2 15
90 3 15
91 3 14
92 3 13
93 2 13
94 2 12
95 3 12
96 4 12
97 5 12
98 5 13
99 4 13
100 4 14
101 4 15
102 5 15
103 5 14
104 6 14
105 6 15
106 7 15
107 7 14
108 7 13
109 6 13
110 6 12
111 7 12
112 7 11
113 7 10
114 6 10
115 6 11
116 5 11
117 4 11
118 4 10
119 5 10
120 5 9
121 4 9
122 4 8
123 5 8
124 6 8
125 6 9
126 7 9
127 7 8
128 8 8
129 8 9
130 9 9
131 9 8
132 10 8
133 11 8
134 11 9
135 10 9
136 10 10
137 11 10
138 11 11
139 10 11
140 9 11
141 9 10
142 8 10
143 8 11
144 8 12
145 9 12
146 9 13
147 8 13
148 8 14
149 8 15
150 9 15
151 9 14
152 10 14
153 10 15
154 11 15
155 11 14
156 11 13
157 10 13
158 10 12
159 11 12
160 12 12
161 13 12
162 13 13
163 12 13
164 12 14
165 12 15
166 13 15
167 13 14
168 14 14
169 14 15
170 15 15
171 15 14
172 15 13
173 14 13
174 14 12
175 15 12
176 15 11
177 15 10
178 14 10
179 14 11
180 13 11
181 12 11
182 12 10
183 13 10
184 13 9
185 12 9
186 12 8
187 13 8
188 14 8
189 14 9
190 15 9
191 15 8
192 15 7
193 14 7
194 14 6
195 15 6
196 15 5
197 15 4
198 14 4
199 14 5
200 13 5
201 13 4
202 12 4
203 12 5
204 12 6
205 13 6
206 13 7
207 12 7
208 11 7
209 11 6
210 10 6
211 10 7
212 9 7
213 8 7
214 8 6
215 9 6
216 9 5
217 8 5
218 8 4
219 9 4
220 10 4
221 10 5
222 11 5
223 11 4
224 11 3
225 11 2
226 10 2
227 10 3
228 9 3
229 8 3
230 8 2
231 9 2
232 9 1
233 8 1
234 8 0
235 9 0
236 10 0
237 10 1
238 11 1
239 11 0
240 12 0
241 13 0
242 13 1
243 12 1
244 12 2
245 12 3
246 13 3
247 13 2
248 14 2
249 14 3
250 15 3
251 15 2
252 15 1
253 14 1
254 14 0
255 15 0
